No.11:Traction sensor V,1326,1933,1255,1690,2074,1689,0,0,0,0,0,0,Traction sensor F/M,1.17633,0.198409,1.70657,0.219719,5.02567,-0.931687,8.94316e-316,0,0.00189999,0.017937,-0.893032,-0.0787598,Contact sensor V,1984.86,1847.84,2448.73,1755.07,1717.53,1918.64,Contact sensor F/M,2.39254,2.54589,2.37888,-2.62789,4.95563,1.39787,Robot TCP position,0.34032,0.235508,0.95427,-1.91172,0.300246,1.11553,Robot Joint position,89.9227,-90.5815,-89.2573,-15.6237,-65.4671,44.8136,Robot TCP Torque,-23.8328,-12.8352,20.7082,1.56551,1.99211,12.4682,Robot Joint Torque,13.8588,16.5754,8.51429,-2.83483,0.394172,1.87125,
No.12:Traction sensor V,1325,1933,1254,1690,2074,1689,0,0,0,0,0,0,Traction sensor F/M,1.28369,0.203927,1.52513,0.204805,5.39555,-0.92847,8.95816e-316,0,0.00189999,0.017937,-0.893032,-0.0787598,Contact sensor V,1984.56,1848.45,2448.12,1755.07,1717.83,1918.33,Contact sensor F/M,2.35249,2.2296,2.27975,-2.07316,4.48777,1.07913,Robot TCP position,0.340329,0.235495,0.954253,-1.91168,0.300222,1.11557,Robot Joint position,89.9227,-90.5808,-89.258,-15.6209,-65.4657,44.8122,Robot TCP Torque,-22.7296,-11.8355,21.3657,1.65936,1.96776,12.0964,Robot Joint Torque,13.3482,17.2268,8.9061,-2.74821,0.103973,1.90004,
No.13:Traction sensor V,1324,1934,1259,1690,2074,1689,0,0,0,0,0,0,Traction sensor F/M,1.38497,0.153188,1.97431,0.378307,5.77394,-0.918674,8.9433e-316,0,0.00189999,0.017937,-0.893032,-0.0787598,Contact sensor V,1984.86,1848.14,2447.81,1754.76,1718.14,1918.33,Contact sensor F/M,1.98782,2.16976,2.23235,-1.5615,3.45056,1.01119,Robot TCP position,0.340332,0.235513,0.954264,-1.91174,0.3003,1.11558,Robot Joint position,89.922,-90.5815,-89.2587,-15.6237,-65.4657,44.8109,Robot TCP Torque,-23.4026,-14.2277,19.6594,1.02406,1.75714,12.6788,Robot Joint Torque,13.1294,16.7202,8.60471,-2.74821,0.103973,1.90004,
No.14:Traction sensor V,1323,1934,1260,1691,2075,1690,0,0,0,0,0,0,Traction sensor F/M,1.48114,0.149254,2.06597,0.650641,5.8772,-0.691778,8.92736e-316,0,0.00189999,0.017937,-0.893032,-0.0787598,Contact sensor V,1985.17,1847.23,2447.81,1756.59,1718.14,1918.33,Contact sensor F/M,1.80892,3.86049,2.21277,-6.91637,3.1093,1.31411,Robot TCP position,0.340323,0.235509,0.954256,-1.91174,0.300334,1.11552,Robot Joint position,89.9206,-90.5822,-89.2594,-15.623,-65.4678,44.8122,Robot TCP Torque,-22.6977,-13.9084,19.3478,1.07229,1.70333,12.5173,Robot Joint Torque,13.1294,16.9373,8.42388,-2.97921,0.220053,1.90004,
No.15:Traction sensor V,1322,1935,1262,1694,2076,1689,0,0,0,0,0,0,Traction sensor F/M,1.56825,0.0773319,2.27661,1.67942,5.91313,-0.877546,8.94344e-316,0,0.00189999,0.017937,-0.893032,-0.0787598,Contact sensor V,1985.78,1848.14,2448.43,1755.68,1718.75,1918.64,Contact sensor F/M,1.10229,2.76259,2.33039,-3.76051,1.0938,1.21708,Robot TCP position,0.340323,0.23554,0.954249,-1.91175,0.300256,1.1156,Robot Joint position,89.924,-90.5829,-89.2587,-15.6223,-65.4657,44.8116,Robot TCP Torque,-23.1608,-13.2539,19.7166,1.3095,1.83893,12.4765,Robot Joint Torque,13.0565,17.1544,8.7554,-2.86371,0.307112,1.90004,
No.16:Traction sensor V,1323,1935,1263,1695,2076,1688,0,0,0,0,0,0,Traction sensor F/M,1.45787,0.0651672,2.38678,1.97289,5.46289,-1.10045,8.95201e-316,0,0.00189999,0.017937,-0.893032,-0.0787598,Contact sensor V,1984.86,1847.84,2447.51,1755.98,1717.53,1918.64,Contact sensor F/M,2.39181,3.15637,2.16614,-4.9166,4.9368,1.50789,Robot TCP position,0.340335,0.235509,0.954265,-1.91171,0.300267,1.11555,Robot Joint position,89.9213,-90.5822,-89.2566,-15.623,-65.4657,44.8122,Robot TCP Torque,-24.2868,-14.0233,20.0212,1.10654,1.93277,13.0576,Robot Joint Torque,13.4212,16.4307,8.48415,-3.06584,0.191033,1.92883,
No.17:Traction sensor V,1322,1935,1260,1695,2075,1689,0,0,0,0,0,0,Traction sensor F/M,1.57142,0.0756938,2.1058,1.95923,6.18006,-0.869387,8.92724e-316,0,0.00189999,0.017937,-0.893032,-0.0787598,Contact sensor V,1984.56,1847.23,2447.2,1755.37,1717.83,1919.25,Contact sensor F/M,2.33399,3.05398,2.11917,-3.93055,4.44177,1.9573,Robot TCP position,0.340321,0.235488,0.954279,-1.91173,0.300304,1.11551,Robot Joint position,89.9213,-90.5801,-89.2587,-15.6251,-65.4678,44.8129,Robot TCP Torque,-23.5407,-13.8092,20.125,1.18775,1.95353,12.869,Robot Joint Torque,13.64,17.0096,8.42388,-2.74821,0.191033,1.87125,
No.18:Traction sensor V,1323,1933,1260,1696,2074,1690,0,0,0,0,0,0,Traction sensor F/M,1.47087,0.177724,2.11616,1.84886,6.01447,-0.674779,8.9433e-316,0,0.00189999,0.017937,-0.893032,-0.0787598,Contact sensor V,1985.47,1847.53,2448.12,1755.37,1717.83,1918.95,Contact sensor F/M,1.87075,2.89149,2.27528,-3.62998,3.63399,1.61818,Robot TCP position,0.34033,0.235525,0.954254,-1.91174,0.300328,1.11556,Robot Joint position,89.9213,-90.5829,-89.2587,-15.623,-65.4664,44.8109,Robot TCP Torque,-23.1714,-12.9823,19.949,1.04389,1.75841,12.5279,Robot Joint Torque,13.64,17.1544,8.45402,-2.80596,0.278093,1.90004,
No.19:Traction sensor V,1322,1933,1259,1695,2076,1692,0,0,0,0,0,0,Traction sensor F/M,1.5693,0.183325,2.08702,1.57254,5.96171,-0.22992,8.9553e-316,0,0.00189999,0.017937,-0.893032,-0.0787598,Contact sensor V,1984.56,1847.84,2448.43,1755.07,1718.44,1918.64,Contact sensor F/M,1.92776,2.52802,2.33129,-2.56377,2.94657,1.30773,Robot TCP position,0.340316,0.235486,0.954267,-1.91169,0.300337,1.11554,Robot Joint position,89.9213,-90.5808,-89.258,-15.623,-65.4685,44.8102,Robot TCP Torque,-23.8804,-13.4335,19.4005,1.16231,1.94974,12.6611,Robot Joint Torque,13.4941,17.7334,8.87596,-2.60383,0.307112,1.87125,
No.20:Traction sensor V,1323,1932,1257,1694,2075,1693,0,0,0,0,0,0,Traction sensor F/M,1.47485,0.243423,1.81256,1.10875,5.82572,-0.0481409,8.94336e-316,0,0.00189999,0.017937,-0.893032,-0.0787598,Contact sensor V,1983.95,1847.84,2447.81,1755.37,1717.53,1918.64,Contact sensor F/M,2.85925,2.75737,2.22111,-3.41398,5.76692,1.50493,Robot TCP position,0.340324,0.235543,0.954278,-1.91179,0.300323,1.11557,Robot Joint position,89.9227,-90.5829,-89.258,-15.6264,-65.4664,44.8116,Robot TCP Torque,-23.6362,-14.1282,19.7147,1.09256,1.83912,12.735,Robot Joint Torque,13.2753,16.6478,8.54443,-2.97921,0.0459338,1.95761,
